NAME,DEVICE TYPE,TYPE,DATASET,DATASET STATE,NE107 STATUS,WARNINGS,ERRORS,DESCRIPTION,PACKAGE DEVICE TYPE (ID),PACKAGE MANUFACTURER (ID),PACKAGE PROTOCOL,PACKAGE CLASSIFICATION,PACKAGE TYPE,PACKAGE REVISION,SUPPORTED DEVICE REVISIONS,TOPOLOGY ADDRESS,DEVICE IDENTITY,CUSTOM DEVICE FIELDS,USER MESSAGE
LS999202B_51_IO,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PSD.CNTRL20157/Modulebus/102/1/0,260667C904,,
LS999203_02_IO,VEGAPULS 64 (0x62BE),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x1A82),ABB,HART 7,Universal,Generic Device Package,02.00.0007,All Supported,ABB FIM Bridge 800xA/System/HEM_PSD.CNTRL20157/Modulebus/103/3/0,62BE6594DF,,
LS999203_04_IO,VEGAPULS 64 (0x62BE),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x1A82),ABB,HART 7,Universal,Generic Device Package,02.00.0007,All Supported,ABB FIM Bridge 800xA/System/HEM_PSD.CNTRL20157/Modulebus/103/4/0,62BE6594E1,,
LST412207_02,5300 (0x0051),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS2.CNTRL20229/Modulebus/103/1/0,265100F5A6,,
LV618342_01_,DVC6200 (0x0009),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,DVC6200 (0x0009),Fisher Controls ,HART 5,Actuator,Specific EDD,1.7.0,1.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10181/CexBus/1/./3 PCMP738265/Modulebus/7/2/0,1309C33B4B,,
PIT561204_06,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Normal,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./6 PCMP738222/Modulebus/1/6/0,26065BAED9,,
PIT561204_16,,DEVICE,OFFLINE,NOT IN SYNC,,,Device name not unique,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,,,,
PIT561204_16,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Normal,No offline dataset exists,Device name not unique,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./6 PCMP738219/Modulebus/2/4/0,26065DB01D,,
PIT561212_03,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Normal,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./4 PCMP738221/Modulebus/1/1/0,26067FBFF1,,
PIT561212_04,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Normal,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./4 PCMP738221/Modulebus/1/2/0,26067FBFF2,,
PIT561212_05,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Normal,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./4 PCMP738221/Modulebus/1/3/0,26067FBFD9,,
PIT561212_06,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Normal,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./6 PCMP738222/Modulebus/4/7/0,26068021DA,,
PIT561212_16,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./6 PCMP738219/Modulebus/3/1/0,26067F4B81,,
PIT561213_03,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./4 PCMP738221/Modulebus/1/4/0,26067FBEFE,,
PIT561213_04,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./4 PCMP738221/Modulebus/1/5/0,2606824C99,,
PIT561213_05,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Normal,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./4 PCMP738221/Modulebus/1/6/.,26064BA873,,
PIT561213_06,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10155/CexBus/1/./2 PCMP738222/Modulebus/4/8/.,2606802384,,
PIT561213_16,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./6 PCMP738219/Modulebus/3/2/0,26064ACDBF,,
PIT561214_03,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Normal,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./3 PCMP738220/Modulebus/8/2/0,2606823FD4,,
PIT561214_04,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Normal,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./3 PCMP738220/Modulebus/8/3/0,2606823FD2,,
PIT561214_05,3051 (0x0006),DEVICE,ONLINE,NOT IN SYNC,Normal,No offline dataset exists,,,3051 (0x0006),Rosemount ,HART 5,Pressure,Specific EDD,7.16.0,7.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./3 PCMP738220/Modulebus/8/4/0,260682132A,,
RST4189101_05,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/406/4/0,8F7C0301F8,,
RST4189101_06,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/501/4/0,8F7C0312A1,,
RST4189101_07,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/502/4/0,8F7C031170,,
RST4189101_08,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/503/4/0,8F7C031107,,
RST4189101_10,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/301/5/0,8F7C0311CD,,
RST4189101_11,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/302/5/0,8F7C031106,,
RST4189101_12,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/303/5/0,8F7C031109,,
RST4189101_13,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/304/5/0,8F7C0312FC,,
RST4189101_14,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/305/5/0,8F7C0312A3,,
RST4189101_15,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/306/5/0,8F7C0304E9,,
RST4189101_18,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/401/5/0,8F7C0306F6,,
RST4189101_19,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/402/5/0,8F7C03120D,,
RST4189101_20,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/403/5/0,8F7C0312FB,,
RST4189101_21,X3301 (0x007C),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_ESD_FGS.CNTRL20207/Modulebus/404/5/0,8F7C031224,,
TIT561229_05,3144 Temp (0x0019),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./6 PCMP738219/Modulebus/1/3/0,261951AA78,,
TIT561229_08,3144 Temp (0x0019),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./5 PCMP738219/Modulebus/4/1/0,26198F6EE0,,
TIT561230_04,3144 Temp (0x0019),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1/./5 PCMP738221/Modulebus/6/1/0,261948A5CE,,
TIT561230_05,3144 Temp (0x0019),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./6 PCMP738219/Modulebus/1/4/0,261936D3BE,,
TIT561230_08,3144 Temp (0x0019),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10155/CexBus/1/./5 PCMP738224/Modulebus/3/3/0,2619983EDF,,
TV942205B_02_,DVC6200 (0x0009),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,DVC6200 (0x0009),Fisher Controls ,HART 5,Actuator,Specific EDD,1.7.0,1.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./4 PCMP738218/Modulebus/4/2/0,1309A3A04C,,
TV942205B_06,DVC6000 (0x0003),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./4 PCMP738218/Modulebus/4/6/0,1303C75BDB,,
TV942205C_02_,DVC6200 (0x0009),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,DVC6200 (0x0009),Fisher Controls ,HART 5,Actuator,Specific EDD,1.7.0,1.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./4 PCMP738218/Modulebus/5/2/0,1309A39F02,,
TV942205C_06,DVC6000 (0x0003),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,GENERIC (0x0082),ABB,HART 5,Universal,Generic Device Package,01.00.01,All Supported,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./4 PCMP738218/Modulebus/5/3/0,1303C773C9,,
TV942212_02A_,DVC6200 (0x0009),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,DVC6200 (0x0009),Fisher Controls ,HART 5,Actuator,Specific EDD,1.7.0,1.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10182/CexBus/1/./5 PCMP738269/Modulebus/9/6/0,1309C4037B,,
ZT623201_02_IO,Position Xmtr (0xE394),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x1A82),ABB,HART 7,Universal,Generic Device Package,02.00.0007,All Supported,ABB FIM Bridge 800xA/System/HEM_PSD.CNTRL20197/Modulebus/301/5/0,E394000C69,,
ZT623203_05_IO,Position Xmtr (0xE394),DEVICE,ONLINE,NOT IN SYNC,Unknown,No offline dataset exists,,,GENERIC (0x1A82),ABB,HART 7,Universal,Generic Device Package,02.00.0007,All Supported,ABB FIM Bridge 800xA/System/HEM_PSD.CNTRL20197/Modulebus/301/6/0,E39400057F,,
ZT623205_01_IO,Position Xmtr (0xE394),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,GENERIC (0x1A82),ABB,HART 7,Universal,Generic Device Package,02.00.0007,All Supported,ABB FIM Bridge 800xA/System/HEM_PSD.CNTRL20197/Modulebus/301/7/.,E394000C49,,
ZT942205A_06,Position Xmtr (0xE394),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,GENERIC (0x1A82),ABB,HART 7,Universal,Generic Device Package,02.00.0007,All Supported,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./3 PCMP738218/Modulebus/1/6/0,E39400047F,,
ZT942205B_06,Position Xmtr (0xE394),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,GENERIC (0x1A82),ABB,HART 7,Universal,Generic Device Package,02.00.0007,All Supported,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./4 PCMP738218/Modulebus/2/8/0,E39400049A,,
ZT942205C_06,Position Xmtr (0xE394),DEVICE,ONLINE,NOT IN SYNC,Out of Specification,No offline dataset exists,,,GENERIC (0x1A82),ABB,HART 7,Universal,Generic Device Package,02.00.0007,All Supported,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./3 PCMP738218/Modulebus/3/6/0,E394000232,,
